,Q1,Q2,Q3,Q4
0,15.249237972318797,0.0,0.0,0.0
15그래머,0.0,0.0,0.0,19.408121055678468
15그램,0.0,0.0,0.0,19.408121055678468
15그램뷰티,0.0,0.0,0.0,15.249237972318797
35mm,0.0,0.0,15.249237972318797,0.0
5살,0.0,34.657359027997266,0.0,0.0
99,0.0,16.635532333438686,0.0,0.0
Clarins,0.0,19.408121055678468,0.0,0.0
JMT,0.0,0.0,44.3614195558365,0.0
adorable,0.0,30.498475944637594,0.0,0.0
adventure,18.021826694558577,0.0,0.0,0.0
art,18.021826694558577,0.0,14.556090791758852,0.0
artwork,80.40507294495366,0.0,0.0,0.0
asian,22.18070977791825,0.0,0.0,0.0
baby,0.0,0.0,10.39720770839918,38.12309493079699
bakery,0.0,0.0,0.0,20.79441541679836
baking,41.58883083359672,0.0,0.0,0.0
bali,0.0,26.33959286127792,0.0,0.0
baliindonesia,0.0,15.249237972318797,0.0,0.0
beautifully,0.0,41.58883083359672,0.0,0.0
belle,0.0,0.0,16.635532333438686,0.0
bestmeow,0.0,0.0,34.657359027997266,0.0
bias,0.0,0.0,0.0,34.657359027997266
bichon,0.0,29.112181583517703,0.0,0.0
bichonfrise,0.0,15.249237972318797,0.0,11.090354888959125
black,0.0,0.0,0.0,15.249237972318797
bogorkuliner,0.0,0.0,19.408121055678468,0.0
bread,0.0,0.0,0.0,26.33959286127792
brideideas,0.0,15.249237972318797,0.0,0.0
britishshorthair,29.112181583517703,0.0,0.0,0.0
busan,0.0,0.0,15.249237972318797,0.0
cafe,0.0,0.0,0.0,0.0
cafestagram,0.0,31.884770305757485,0.0,0.0
cafetour,13.862943611198906,13.862943611198906,0.0,0.0
canon800d,0.0,0.0,44.3614195558365,0.0
cat,32.57791748631743,0.0,63.76954061151497,0.0
catdrawing,36.04365338911715,0.0,0.0,0.0
catlife,20.79441541679836,0.0,0.0,0.0
catlover,36.04365338911715,0.0,0.0,0.0
catloversclub,0.0,0.0,36.04365338911715,0.0
catofteday,0.0,0.0,34.657359027997266,0.0
catoftheday,20.79441541679836,0.0,0.0,0.0
catsnet,0.0,0.0,36.04365338911715,0.0
catsofinstagram,9.010913347279288,0.0,45.747713916956386,0.0
catsofworld,0.0,0.0,36.04365338911715,0.0
catstagram,24.95329850015803,0.0,27.725887222397812,0.0
catstargram,0.0,0.0,36.04365338911715,0.0
chat,13.16979643063896,0.0,27.725887222397812,0.0
chaton,0.0,0.0,55.451774444795625,0.0
clarins,0.0,33.27106466687737,0.0,0.0
clubofcats,0.0,0.0,36.04365338911715,0.0
coffee,0.0,0.0,0.0,0.0
coffeelover,0.0,15.249237972318797,0.0,0.0
coffeeshop,0.0,26.33959286127792,0.0,0.0
coffeetime,0.0,31.884770305757485,0.0,0.0
color,30.498475944637594,0.0,0.0,0.0
colorful,30.498475944637594,0.0,0.0,0.0
coloring,34.657359027997266,0.0,0.0,0.0
cookingathome,0.0,26.33959286127792,0.0,0.0
cookingvideo,0.0,26.33959286127792,0.0,0.0
cool,30.498475944637594,0.0,0.0,0.0
cucimukabogor,0.0,0.0,15.249237972318797,0.0
cute,14.556090791758852,0.0,0.0,26.33959286127792
cutecat,18.021826694558577,0.0,0.0,0.0
cutedog,0.0,0.0,0.0,52.67918572255584
daegu,0.0,0.0,22.18070977791825,0.0
daily,0.0,0.0,0.0,0.0
dailyfood,0.0,0.0,55.451774444795625,0.0
dailygram,0.0,0.0,0.0,29.112181583517703
dailylook,0.0,0.0,0.0,0.0
daliy,0.0,20.79441541679836,0.0,0.0
dancingsnail,34.657359027997266,0.0,0.0,0.0
deepmine,18.021826694558577,0.0,0.0,0.0
dessert,19.408121055678468,10.39720770839918,0.0,0.0
diet,0.0,0.0,24.95329850015803,0.0
dinnerideas,0.0,0.0,20.79441541679836,0.0
dm,0.0,15.249237972318797,0.0,0.0
dog,0.0,0.0,0.0,73.4736011393542
dogstagram,0.0,0.0,0.0,83.17766166719343
doodle,34.657359027997266,0.0,0.0,0.0
draw,19.408121055678468,0.0,0.0,0.0
drawing,30.498475944637594,0.0,0.0,0.0
drink,38.816242111356935,0.0,0.0,0.0
dthrone,0.0,0.0,45.747713916956386,0.0
e,0.0,11.090354888959125,0.0,14.556090791758852
earthhour,15.249237972318797,0.0,0.0,0.0
eider,0.0,24.95329850015803,0.0,0.0
eiderkids,0.0,27.725887222397812,0.0,0.0
eosr6,0.0,0.0,19.408121055678468,0.0
europe,38.816242111356935,0.0,0.0,0.0
f,0.0,10.39720770839918,0.0,9.704060527839234
f4f,0.0,0.0,0.0,0.0
f4follow,0.0,0.0,26.33959286127792,0.0
f4l,0.0,0.0,0.0,33.27106466687737
f52grams,0.0,0.0,20.79441541679836,0.0
facialterbaikbogor,0.0,0.0,15.249237972318797,0.0
fashion,6.616687666390959,10.931918753167672,3.4521848694213704,0.0
fashionstyle,0.0,16.635532333438686,0.0,0.0
feedfeed,0.0,0.0,38.816242111356935,0.0
ff,0.0,0.0,42.97512519471661,0.0
fff,0.0,0.0,0.0,0.0
ffff,0.0,0.0,30.498475944637594,0.0
filmcamera,0.0,0.0,26.33959286127792,0.0
filmphotography,0.0,0.0,49.90659700031606,0.0
fitgirl,18.021826694558577,0.0,0.0,0.0
fitness,14.556090791758852,7.6246189861593985,0.0,0.0
fitnessmodel,19.408121055678468,0.0,0.0,0.0
follow,0.0,0.0,0.0,0.0
follow4followback,7.1920518112945215,0.0,14.671785695040823,5.465959376583836
follow4like,0.0,0.0,24.95329850015803,0.0
followforfollowback,0.0,0.0,0.0,0.0
followforollowback,0.0,16.635532333438686,0.0,0.0
following,0.0,5.178277304132055,6.616687666390959,3.739866941873151
followme,0.0,0.0,0.0,0.0
follwme,24.95329850015803,0.0,0.0,0.0
food,8.630462173553425,0.0,12.370329115426577,4.027549014324932
foodgasm,0.0,0.0,49.90659700031606,0.0
foodie,0.0,0.0,55.451774444795625,0.0
foodies,0.0,26.33959286127792,0.0,0.0
foodlover,0.0,45.747713916956386,0.0,0.0
foodpics,0.0,0.0,49.90659700031606,0.0
foodporn,0.0,10.39720770839918,29.805328764077647,0.0
foodstagram,0.0,0.0,27.032740041837865,8.317766166719343
foodstyling,0.0,0.0,55.451774444795625,0.0
gato,18.021826694558577,0.0,0.0,0.0
gatto,7.6246189861593985,0.0,18.021826694558577,0.0
get,0.0,15.249237972318797,0.0,0.0
greentea,0.0,0.0,54.06548008367573,0.0
highlandfold,0.0,0.0,36.04365338911715,0.0
hillberg,0.0,15.249237972318797,0.0,0.0
hillebergthetentmaker,0.0,16.635532333438686,0.0,0.0
home,16.635532333438686,0.0,0.0,0.0
homebaking,20.79441541679836,22.18070977791825,0.0,0.0
homebarista,38.816242111356935,0.0,0.0,0.0
homecafe,45.054566736396445,29.805328764077647,0.0,0.0
homecook,0.0,0.0,56.83806880591551,0.0
homecooking,0.0,25.646445680717974,19.408121055678468,0.0
homemade,0.0,0.0,38.816242111356935,0.0
ig,29.112181583517703,0.0,0.0,0.0
igers,48.52030263919617,0.0,0.0,0.0
illustration,30.498475944637594,0.0,0.0,0.0
ilovecats,0.0,0.0,36.04365338911715,0.0
instacat,0.0,0.0,55.451774444795625,0.0
instadaily,0.0,0.0,0.0,0.0
instadog,0.0,30.498475944637594,0.0,0.0
instafashion,0.0,0.0,33.27106466687737,0.0
instafood,4.890595231680274,6.616687666390959,10.35655460826411,0.0
instagood,0.0,0.0,0.0,0.0
instagram,3.4521848694213704,0.0,16.97324227465507,12.945693260330138
instalike,0.0,11.78350206951907,14.556090791758852,0.0
instalove,38.816242111356935,0.0,0.0,0.0
instamood,0.0,0.0,58.224363167035406,0.0
instasize,0.0,0.0,0.0,52.67918572255584
interior,27.725887222397812,0.0,0.0,0.0
ipad,15.249237972318797,0.0,0.0,0.0
iphoneX,0.0,38.816242111356935,0.0,0.0
jeju,0.0,0.0,0.0,27.725887222397812
jejuisland,0.0,0.0,0.0,18.021826694558577
jejulife,0.0,0.0,0.0,20.79441541679836
jejutravel,0.0,0.0,0.0,19.408121055678468
joowon밥상,0.0,0.0,0.0,31.884770305757485
katze,14.556090791758852,0.0,27.725887222397812,0.0
kbeauty,27.725887222397812,0.0,0.0,0.0
kfashion,10.39720770839918,0.0,0.0,18.021826694558577
kfood,0.0,42.97512519471661,0.0,0.0
kids,0.0,0.0,0.0,47.13400827807628
kitten,0.0,0.0,55.451774444795625,0.0
kitty,24.260151319598084,0.0,27.725887222397812,0.0
korea,35.350506208557206,0.0,24.95329850015803,0.0
korean,3.739866941873151,0.0,7.767415956198083,7.767415956198083
koreanboy,0.0,0.0,15.249237972318797,18.714973875118524
koreanfood,0.0,18.714973875118524,12.476649250079015,0.0
koreanstyle,27.725887222397812,0.0,0.0,0.0
koreanulzzang,0.0,0.0,0.0,24.95329850015803
koreatravel,16.635532333438686,0.0,0.0,0.0
kpop,0.0,0.0,0.0,58.224363167035406
kstyle,0.0,0.0,0.0,34.657359027997266
kulinerbogor,0.0,0.0,19.408121055678468,0.0
l4l,0.0,0.0,0.0,0.0
lab,0.0,19.408121055678468,0.0,0.0
le,0.0,0.0,16.635532333438686,0.0
lebelleart,0.0,0.0,22.18070977791825,0.0
lebelleartbymarcedes,0.0,0.0,15.249237972318797,0.0
lfl,0.0,12.370329115426577,12.370329115426577,7.479733883746302
lifestyle,0.0,0.0,41.58883083359672,0.0
like,0.0,0.0,0.0,16.635532333438686
like4like,3.739866941873151,3.739866941873151,0.0,10.644236680715892
like4likes,0.0,0.0,0.0,0.0
likeback,0.0,0.0,63.76954061151497,0.0
likeforfollow,0.0,0.0,0.0,0.0
likeforlike,0.0,0.0,0.0,24.95329850015803
likeforlikeback,30.498475944637594,0.0,0.0,0.0
likeforlikes,0.0,0.0,0.0,0.0
liker,0.0,0.0,30.498475944637594,0.0
likesforlike,11.090354888959125,7.6246189861593985,0.0,0.0
liketime,23.56700413903814,0.0,0.0,0.0
live,0.0,20.79441541679836,0.0,0.0
livebeautifully,0.0,27.725887222397812,0.0,0.0
love,9.010913347279288,0.0,0.0,49.90659700031606
lovedog,0.0,19.408121055678468,0.0,0.0
lovedogs,0.0,20.79441541679836,0.0,0.0
lunchideas,0.0,0.0,22.18070977791825,0.0
luxury,0.0,18.021826694558577,0.0,0.0
luxuryhotel,0.0,23.56700413903814,0.0,0.0
luxurylifestyle,0.0,27.725887222397812,0.0,0.0
m,0.0,0.0,15.249237972318797,0.0
maigmati,54.06548008367573,0.0,0.0,0.0
maltese,0.0,0.0,0.0,23.56700413903814
matcha,0.0,0.0,47.13400827807628,0.0
me,0.0,0.0,0.0,47.13400827807628
melkin,0.0,0.0,0.0,27.725887222397812
mensfashion,0.0,0.0,18.021826694558577,0.0
mentengsalon,0.0,0.0,18.021826694558577,0.0
meow,22.873856958478193,0.0,45.747713916956386,0.0
minimal,15.942385152878742,9.010913347279288,0.0,0.0
model,55.451774444795625,0.0,0.0,0.0
moodygrams,0.0,26.33959286127792,0.0,0.0
muk,0.0,62.383246250395075,0.0,0.0
mukbang,0.0,0.0,52.67918572255584,0.0
n,0.0,0.0,0.0,0.0
nailart,0.0,0.0,16.635532333438686,0.0
nailartcikini,0.0,0.0,20.79441541679836,0.0
nailartjakartapusat,0.0,0.0,27.725887222397812,0.0
nct,0.0,0.0,0.0,34.657359027997266
neko,22.18070977791825,0.0,17.328679513998633,0.0
nekostagram,0.0,0.0,36.04365338911715,0.0
nineware,0.0,34.657359027997266,0.0,0.0
northworks,0.0,15.249237972318797,0.0,0.0
of,0.0,0.0,36.04365338911715,0.0
onthetable,128.92537558414983,0.0,0.0,0.0
ootd,0.0,0.0,0.0,0.0
ootdfashion,30.498475944637594,0.0,0.0,0.0
outfit,8.342780101101644,3.4521848694213704,10.35655460826411,0.0
painting,36.04365338911715,0.0,0.0,0.0
peace,0.0,0.0,0.0,47.13400827807628
perrito,0.0,23.56700413903814,0.0,0.0
persiancat,0.0,0.0,36.04365338911715,0.0
pet,0.0,0.0,27.725887222397812,20.101268236238415
peterior,29.112181583517703,0.0,0.0,0.0
petstagram,0.0,15.249237972318797,0.0,20.79441541679836
petstargram,0.0,0.0,18.021826694558577,10.39720770839918
photo,0.0,27.725887222397812,0.0,0.0
photographer,0.0,0.0,48.52030263919617,0.0
photography,0.0,0.0,27.725887222397812,0.0
pic,0.0,16.635532333438686,0.0,0.0
pilates,0.0,0.0,45.747713916956386,0.0
portrait,52.67918572255584,0.0,0.0,0.0
portraits,16.635532333438686,0.0,0.0,0.0
prunus,0.0,22.18070977791825,0.0,0.0
puppy,0.0,13.16979643063896,0.0,14.556090791758852
ragdoll,0.0,0.0,72.0873067782343,0.0
ready,0.0,15.249237972318797,0.0,0.0
recipe,0.0,0.0,38.816242111356935,0.0
recipevideo,0.0,0.0,16.635532333438686,0.0
reels,36.04365338911715,0.0,0.0,0.0
repost,0.0,37.42994775023705,0.0,0.0
rim안암,0.0,19.408121055678468,0.0,0.0
salonbogor,0.0,0.0,15.249237972318797,0.0
salonmenteng,0.0,0.0,15.249237972318797,0.0
scottishfold,0.0,0.0,55.451774444795625,0.0
selca,0.0,0.0,0.0,0.0
selfie,0.0,0.0,0.0,0.0
selife,0.0,0.0,0.0,20.79441541679836
selstagram,0.0,0.0,0.0,24.95329850015803
seoul,0.0,0.0,0.0,0.0
seoulbotanicpark,0.0,55.451774444795625,0.0,0.0
seoulcafe,30.498475944637594,0.0,0.0,0.0
sketch,34.657359027997266,0.0,0.0,0.0
snapshot,0.0,0.0,16.635532333438686,0.0
sofa,29.112181583517703,0.0,0.0,0.0
soulo,0.0,20.79441541679836,0.0,0.0
ssef,24.95329850015803,0.0,0.0,0.0
ssefproject,16.635532333438686,0.0,0.0,0.0
stayhome,15.249237972318797,0.0,0.0,0.0
style,27.725887222397812,0.0,0.0,0.0
summer,0.0,0.0,12.476649250079015,7.6246189861593985
sunset,13.16979643063896,7.6246189861593985,0.0,0.0
teafood,16.635532333438686,0.0,0.0,0.0
trailrunning,0.0,0.0,0.0,15.249237972318797
travel,0.0,34.657359027997266,0.0,0.0
travelblogger,0.0,29.112181583517703,0.0,0.0
traveler,0.0,16.635532333438686,0.0,0.0
travelgram,7.6246189861593985,18.714973875118524,0.0,0.0
travelholic,0.0,8.317766166719343,8.317766166719343,0.0
travelinside,0.0,23.56700413903814,0.0,0.0
travellingthroughtheworld,20.79441541679836,0.0,0.0,0.0
travelphotography,0.0,41.58883083359672,0.0,0.0
trazy,22.18070977791825,0.0,0.0,0.0
trip,0.0,26.33959286127792,0.0,0.0
ulzzang,7.6246189861593985,0.0,0.0,13.16979643063896
ulzzangstyle,0.0,0.0,0.0,37.42994775023705
useful,0.0,0.0,0.0,33.27106466687737
visitkorea,22.18070977791825,0.0,0.0,0.0
whitedog,0.0,29.112181583517703,0.0,0.0
world,19.408121055678468,0.0,0.0,0.0
worldtravel,0.0,23.56700413903814,0.0,0.0
worldtrip,0.0,23.56700413903814,0.0,0.0
xa0,0.0,53.37233290311579,93.57486937559261,0.0
yoga,0.0,18.021826694558577,0.0,0.0
youth,0.0,19.408121055678468,0.0,0.0
yummy,0.0,0.0,51.29289136143595,0.0
가가멜스,0.0,0.0,9.010913347279288,9.010913347279288
가로수길,0.0,0.0,22.18070977791825,0.0
가로수길맛집,11.78350206951907,0.0,14.556090791758852,0.0
가오픈,0.0,9.010913347279288,0.0,12.476649250079015
가오픈카페,0.0,0.0,0.0,0.0
가정보육,12.476649250079015,17.328679513998633,0.0,0.0
가족,0.0,0.0,0.0,55.451774444795625
가족나들이,0.0,0.0,37.42994775023705,0.0
가족스타그램,0.0,0.0,37.42994775023705,0.0
가족여행,0.0,0.0,16.635532333438686,0.0
간식,20.79441541679836,0.0,0.0,7.6246189861593985
간편요리,16.635532333438686,0.0,0.0,0.0
감성,0.0,0.0,0.0,0.0
감성사진,9.493508390908769,10.35655460826411,11.219600825619453,0.0
감성용품,0.0,0.0,16.635532333438686,0.0
감성카페,31.884770305757485,36.7368005696771,0.0,0.0
감성캠핑,5.753641449035617,4.027549014324932,13.808739477685481,0.0
감자마스크,0.0,0.0,0.0,18.021826694558577
강남,0.0,0.0,0.0,66.54212933375474
강남맛집,0.0,0.0,23.56700413903814,0.0
강릉,0.0,19.408121055678468,0.0,0.0
강아지,0.0,15.942385152878742,0.0,61.69009906983513
강아지남매,0.0,0.0,0.0,18.021826694558577
강아지동반,0.0,0.0,0.0,49.90659700031606
강아지동영상,0.0,24.95329850015803,0.0,0.0
강아지사료,0.0,22.18070977791825,0.0,0.0
강아지사료추천,0.0,23.56700413903814,0.0,0.0
강아지산책,0.0,0.0,0.0,51.29289136143595
강아지영상,0.0,18.021826694558577,0.0,0.0
강아지옷,0.0,0.0,0.0,59.61065752815529
강아지옷도매,0.0,0.0,0.0,18.021826694558577
강아지옷쇼핑몰,0.0,0.0,0.0,20.79441541679836
강아지원피스,0.0,0.0,0.0,31.884770305757485
강아지의류,0.0,0.0,0.0,16.635532333438686
강아지커플룩,0.0,0.0,0.0,23.56700413903814
강아지쿨매트,0.0,0.0,0.0,15.249237972318797
강원도,0.0,22.18070977791825,0.0,0.0
개냥이,26.33959286127792,0.0,0.0,0.0
개린이,0.0,0.0,0.0,49.90659700031606
개스타그램,0.0,0.0,0.0,51.29289136143595
개일리룩,0.0,0.0,0.0,38.816242111356935
객리단길,0.0,0.0,38.816242111356935,0.0
객리단길카페,0.0,0.0,19.408121055678468,0.0
갬성,0.0,15.942385152878742,24.95329850015803,0.0
갬성캠핑,0.0,0.0,34.657359027997266,0.0
거실인테리어,0.0,36.04365338911715,0.0,0.0
거제여행,18.021826694558577,0.0,0.0,0.0
거제카페,19.408121055678468,0.0,0.0,0.0
건강간식,0.0,15.249237972318797,0.0,0.0
건강식,34.657359027997266,0.0,0.0,0.0
건강식단,4.6029131592284935,5.753641449035617,5.753641449035617,0.0
건대,36.04365338911715,0.0,0.0,0.0
겨울코디,26.33959286127792,0.0,0.0,0.0
경산,18.021826694558577,0.0,0.0,0.0
경의선숲길카페,18.021826694558577,0.0,0.0,0.0
경주신상카페,22.18070977791825,0.0,0.0,0.0
경주카페,36.04365338911715,0.0,0.0,0.0
고등학생,0.0,0.0,40.20253647247683,0.0
고로애옳,36.04365338911715,0.0,0.0,0.0
고양이,13.5210574052337,0.0,11.507282898071233,4.890595231680274
고양이그림,20.79441541679836,0.0,0.0,0.0
고양이만화,15.249237972318797,0.0,0.0,0.0
고양이사료,0.0,16.635532333438686,0.0,0.0
고양이사료추천,0.0,16.635532333438686,0.0,0.0
고양이스타그램,20.79441541679836,0.0,0.0,0.0
고양이일러스트,18.021826694558577,0.0,0.0,0.0
고양이집사,15.249237972318797,0.0,0.0,0.0
공감툰,18.021826694558577,0.0,0.0,0.0
공동구매,0.0,22.18070977791825,0.0,0.0
공유,0.0,0.0,0.0,29.112181583517703
곽두리,0.0,0.0,0.0,49.90659700031606
관리하는여자,0.0,19.408121055678468,0.0,0.0
광고,0.0,0.0,0.0,0.0
광주,0.0,0.0,73.4736011393542,0.0
광주카페,37.42994775023705,0.0,0.0,0.0
교동카페,0.0,0.0,51.29289136143595,0.0
구두리현누리,0.0,0.0,0.0,49.90659700031606
구리,0.0,0.0,0.0,45.747713916956386
구미,0.0,54.06548008367573,0.0,0.0
구영리,0.0,0.0,37.42994775023705,0.0
구움과자,23.56700413903814,0.0,0.0,0.0
국내여행,12.476649250079015,0.0,19.408121055678468,0.0
국내여행지,0.0,0.0,16.635532333438686,0.0
국내여행지추천,0.0,0.0,18.021826694558577,0.0
국내여행추천,0.0,0.0,29.112181583517703,0.0
군산맛집,45.747713916956386,0.0,0.0,0.0
군산여행,18.021826694558577,0.0,0.0,0.0
굽스타그램,31.884770305757485,0.0,0.0,0.0
귀여운강아지,0.0,16.635532333438686,0.0,0.0
귀요미,0.0,0.0,45.747713916956386,0.0
그림,18.021826694558577,0.0,0.0,0.0
금요일,0.0,0.0,0.0,18.021826694558577
기차여행,0.0,0.0,0.0,56.83806880591551
기후위기,20.79441541679836,0.0,0.0,0.0
길고양이,15.249237972318797,0.0,0.0,0.0
길냥이,18.021826694558577,0.0,0.0,0.0
김망고,20.79441541679836,0.0,0.0,0.0
김포,0.0,0.0,15.249237972318797,0.0
꽃스타그램,0.0,16.635532333438686,0.0,0.0
꾸꾸,0.0,0.0,16.635532333438686,0.0
꿈을드리는여행,0.0,0.0,33.27106466687737,0.0
나인웨어,0.0,45.747713916956386,0.0,0.0
남매맘,0.0,0.0,0.0,16.635532333438686
남미,0.0,38.816242111356935,0.0,0.0
남자데일리룩,30.498475944637594,0.0,0.0,0.0
